pid,ae01,ae02,ae03,ae04,ae05,ae06,ae07,ae08,ae09,ae10,ep01,ep02,ep03,ep04,ep05,ep06,ep07,ep08,ep09,ep10,am1,am2,am3,am4,am5,ap1,ap2,ap3,ap4,ap5,ac1,ac2,ac3,ac4,ac5,educprop,educingr,edad,nohijos,relig,mapu
19,5,5,1,5,5,5,5,1,1,1,4,4,4,4,4,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,43,4,2,1
38,4,5,3,1,3,2,1,5,5,5,4,3,2,3,3,1,5,5,5,5,1,5,1,3,1,5,5,3,5,5,1,1,3,3,1,3,3,25,2,2,2
42,4,4,4,4,4,4,4,5,5,5,4,4,1,4,3,1,1,3,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,3,3,43,2,2,2
103,3,3,5,5,3,3,4,2,4,5,4,2,2,2,2,1,1,3,1,1,2,2,2,4,3,5,5,4,4,5,3,2,2,2,2,3,3,36,2,3,2
106,4,4,5,5,4,4,4,4,4,4,2,2,3,2,2,2,1,1,1,1,4,3,3,3,5,4,4,4,4,4,4,3,3,1,1,5,6,37,4,1,2
109,4,5,5,5,5,4,5,5,5,4,4,1,1,2,2,1,2,3,3,3,5,5,5,5,5,2,1,2,2,4,5,5,5,5,4,2,3,29,1,2,1
27,3,5,5,5,2,5,5,5,5,5,4,4,2,2,4,1,2,2,2,2,1,1,1,1,1,5,4,4,4,5,5,5,4,5,5,3,3,35,2,1,1
29,5,2,1,5,3,5,3,5,5,5,5,5,2,5,1,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,30,4,3,2
50,2,5,5,4,3,5,3,3,5,3,2,5,1,2,3,1,1,3,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4,3,3,18,1,2,2
5,4,4,3,3,3,4,5,4,4,4,4,5,1,5,2,1,3,5,5,1,3,3,3,3,3,4,4,1,3,3,4,4,4,4,4,3,2,28,2,2,1
49,2,2,5,5,5,4,4,4,5,5,1,5,1,1,1,1,1,1,5,1,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,3,3,30,2,1,1
80,1,3,4,1,1,2,2,3,3,4,3,5,4,4,4,3,4,5,5,4,4,4,4,4,1,3,3,3,3,3,4,4,4,4,4,5,5,23,1,1,2
90,5,5,5,5,5,5,5,5,5,5,4,2,1,1,1,1,1,1,5,1,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,5,3,23,1,1,2
